team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
MTL,2022,MTL,MTL,Team Level,other,80,0.38,0.48,0.47,9237.0,128.17,24.48,9.94,22.45,4.21,69.25,42.67,22.28,24.48,22.28,127.0,46.0,71.0,244.0,24.0,11.0,1.0,15.0,4.0,65.0,54.0,103.0,149.0,7.0,17.0,117.0,19.0,14.0,26.0,80.0,56.0,37.0,3.17,6.68,14.63,5.0,6.0,13.0,244.0,173.0,173.0,19.0,2.89,3.16,3.0,24.38,24.38,22.82,145.01,40.46,9.89,23.16,4.6,71.92,46.98,36.21,40.46,36.21,146.0,51.0,64.0,261.0,34.0,9.0,0.0,18.0,4.0,74.0,58.0,112.0,163.0,12.0,29.0,114.0,32.0,18.0,31.0,88.0,46.0,63.0,3.46,5.33,31.67,3.0,7.0,24.0,261.0,197.0,197.0,22.0,2.95,4.11,4.11,39.3,39.3,36.0
MTL,2022,MTL,MTL,Team Level,all,80,0.41,0.45,0.45,291217.0,2174.65,214.54,152.16,501.33,71.41,1177.44,867.13,205.48,213.23,204.24,2184.0,800.0,1119.0,4103.0,221.0,195.0,35.0,470.0,51.0,937.0,1110.0,1963.0,2763.0,317.0,740.0,2141.0,1569.0,501.0,990.0,2116.0,632.0,236.0,61.8,78.03,74.7,68.0,87.0,66.0,4055.1,2984.0,2958.59,729.0,33.74,41.74,41.85,206.43,205.46,200.99,2696.17,306.0,195.31,612.63,89.62,1464.88,1033.54,287.76,308.93,290.61,2697.0,1005.0,1372.0,5074.0,296.0,274.0,44.0,542.0,68.0,1261.0,1261.0,2401.0,3406.0,289.0,667.0,2253.0,1591.0,587.0,878.0,2535.0,797.0,370.0,77.28,99.34,129.39,69.0,114.0,113.0,5165.38,3702.0,3752.97,645.0,43.69,64.26,64.32,285.37,288.05,277.78
MTL,2022,MTL,MTL,Team Level,5on5,80,0.44,0.45,0.46,234093.0,1722.61,153.55,114.16,410.14,56.28,932.19,702.67,148.3,152.25,147.06,1727.0,642.0,900.0,3269.0,160.0,149.0,30.0,399.0,34.0,743.0,884.0,1567.0,2209.0,279.0,658.0,1636.0,1450.0,422.0,852.0,1733.0,484.0,152.0,50.52,60.27,42.76,60.0,69.0,31.0,3221.1,2369.0,2343.59,631.0,23.7,33.33,33.61,143.65,142.69,140.69,2063.18,197.66,142.7,493.7,68.55,1114.65,816.74,189.23,200.6,192.09,2051.0,783.0,1085.0,3919.0,192.0,214.0,30.0,445.0,51.0,920.0,1012.0,1859.0,2642.0,256.0,598.0,1721.0,1478.0,488.0,760.0,2001.0,607.0,226.0,61.1,76.41,60.15,58.0,88.0,46.0,4010.38,2834.0,2884.97,571.0,29.71,44.92,44.98,182.39,185.07,181.62
MTL,2022,MTL,MTL,Team Level,4on5,80,0.09,0.11,0.12,24610.0,58.21,6.02,3.49,9.29,1.97,19.51,38.72,5.88,6.02,5.88,64.0,15.0,17.0,96.0,5.0,2.0,0.0,4.0,2.0,16.0,50.0,59.0,74.0,12.0,29.0,207.0,66.0,56.0,76.0,52.0,21.0,6.0,1.57,2.75,1.7,0.0,3.0,2.0,96.0,79.0,79.0,75.0,0.8,0.39,0.39,6.43,6.43,6.38,428.79,60.77,39.22,86.7,14.42,258.35,130.53,55.32,60.77,55.32,429.0,161.0,216.0,806.0,68.0,48.0,14.0,67.0,13.0,251.0,143.0,361.0,522.0,13.0,24.0,239.0,26.0,22.0,44.0,395.0,125.0,70.0,11.22,15.03,34.52,8.0,19.0,41.0,806.0,590.0,590.0,9.0,10.22,14.58,14.58,56.42,56.42,52.94
MTL,2022,MTL,MTL,Team Level,5on4,80,0.81,0.85,0.82,23277.0,265.66,30.48,24.58,59.46,8.94,156.49,83.05,29.01,30.48,29.01,266.0,97.0,131.0,494.0,32.0,33.0,4.0,52.0,11.0,113.0,122.0,234.0,331.0,19.0,36.0,181.0,34.0,9.0,36.0,251.0,71.0,41.0,6.55,8.33,15.61,3.0,9.0,20.0,494.0,363.0,363.0,4.0,6.34,4.86,4.86,31.97,31.97,31.09,59.2,7.1,3.51,9.08,2.06,19.96,39.3,7.0,7.1,7.0,71.0,10.0,7.0,88.0,2.0,3.0,0.0,12.0,0.0,16.0,48.0,69.0,79.0,8.0,16.0,179.0,55.0,59.0,43.0,51.0,19.0,11.0,1.5,2.56,3.05,0.0,0.0,2.0,88.0,81.0,81.0,43.0,0.8,0.66,0.66,7.25,7.25,7.21
CBJ,2022,CBJ,CBJ,Team Level,other,79,0.51,0.51,0.5,9426.0,149.14,31.73,12.25,26.38,5.2,82.91,42.52,27.09,31.73,27.09,143.0,58.0,57.0,258.0,26.0,19.0,2.0,21.0,5.0,83.0,47.0,117.0,175.0,6.0,12.0,117.0,17.0,18.0,20.0,91.0,64.0,46.0,3.31,7.94,20.48,5.0,10.0,11.0,258.0,201.0,201.0,5.0,3.55,7.06,7.06,28.23,28.23,25.43,142.73,30.54,10.31,24.47,4.78,80.85,47.05,29.1,30.54,29.1,136.0,62.0,51.0,249.0,37.0,8.0,4.0,24.0,3.0,69.0,57.0,99.0,161.0,4.0,8.0,116.0,19.0,11.0,13.0,104.0,52.0,42.0,3.94,6.43,20.16,6.0,7.0,24.0,249.0,198.0,198.0,5.0,3.04,2.39,2.39,31.18,31.18,29.9
CBJ,2022,CBJ,CBJ,Team Level,all,79,0.44,0.46,0.45,286876.0,2365.08,226.24,165.37,540.1,78.34,1293.75,940.2,215.36,224.61,213.84,2304.0,940.0,1132.0,4376.0,205.0,214.0,26.0,522.0,77.0,1052.0,1174.0,2099.0,3039.0,270.0,590.0,2254.0,1828.0,515.0,537.0,2347.0,675.0,222.0,68.97,81.85,75.43,72.0,80.0,53.0,4302.64,3244.0,3201.42,268.0,36.69,44.64,44.7,218.23,216.61,210.52,2854.96,285.96,202.41,654.3,94.1,1573.18,1116.03,273.39,290.11,277.41,2795.0,1131.0,1304.0,5230.0,318.0,277.0,50.0,649.0,90.0,1277.0,1315.0,2477.0,3608.0,253.0,554.0,2380.0,1391.0,548.0,554.0,2802.0,823.0,301.0,82.34,101.69,101.92,110.0,111.0,97.0,5370.93,3926.0,4009.24,259.0,44.64,59.37,59.37,271.23,275.13,268.13
CBJ,2022,CBJ,CBJ,Team Level,5on5,79,0.43,0.45,0.44,235546.0,1830.63,156.0,121.38,437.81,60.66,988.9,746.24,150.89,154.37,149.38,1785.0,726.0,936.0,3447.0,138.0,164.0,20.0,416.0,61.0,792.0,940.0,1647.0,2373.0,232.0,514.0,1751.0,1715.0,449.0,458.0,1868.0,512.0,131.0,56.92,62.3,36.79,57.0,60.0,21.0,3373.64,2511.0,2468.42,247.0,25.09,31.87,31.93,149.17,147.54,145.21,2274.88,203.82,154.46,544.9,74.81,1248.42,907.59,195.67,207.98,199.68,2234.0,900.0,1101.0,4235.0,224.0,228.0,41.0,540.0,78.0,999.0,1065.0,2010.0,2910.0,222.0,492.0,1878.0,1315.0,459.0,467.0,2295.0,638.0,201.0,67.93,78.89,57.0,94.0,87.0,43.0,4375.93,3134.0,3217.24,231.0,31.99,47.99,47.99,187.83,191.73,188.07
CBJ,2022,CBJ,CBJ,Team Level,4on5,79,0.13,0.14,0.15,21330.0,65.85,6.32,3.48,8.65,1.95,20.85,46.75,6.23,6.32,6.23,71.0,17.0,16.0,104.0,4.0,0.0,0.0,11.0,2.0,16.0,55.0,67.0,84.0,13.0,26.0,183.0,69.0,37.0,17.0,60.0,20.0,8.0,1.65,2.42,2.24,0.0,2.0,2.0,104.0,88.0,88.0,13.0,0.8,0.0,0.0,7.13,7.13,7.02,365.91,43.47,33.93,75.68,12.33,222.33,113.26,40.67,43.47,40.67,350.0,151.0,140.0,641.0,49.0,38.0,5.0,81.0,7.0,195.0,131.0,301.0,452.0,19.0,38.0,212.0,17.0,14.0,51.0,346.0,108.0,47.0,8.77,13.13,21.58,8.0,14.0,27.0,641.0,501.0,501.0,3.0,8.77,8.17,8.17,44.07,44.07,42.12
CBJ,2022,CBJ,CBJ,Team Level,5on4,79,0.8,0.84,0.83,20574.0,319.46,32.19,28.24,67.26,10.53,201.09,104.69,31.16,32.19,31.16,305.0,139.0,123.0,567.0,37.0,31.0,4.0,74.0,9.0,161.0,132.0,268.0,407.0,19.0,38.0,203.0,27.0,11.0,42.0,328.0,79.0,37.0,7.08,9.19,15.92,10.0,8.0,19.0,567.0,444.0,444.0,3.0,7.25,5.71,5.71,33.71,33.71,32.87,71.43,8.12,3.72,9.25,2.19,21.57,48.14,7.95,8.12,7.95,75.0,18.0,12.0,105.0,8.0,3.0,0.0,4.0,2.0,14.0,62.0,67.0,85.0,8.0,16.0,174.0,40.0,64.0,23.0,57.0,25.0,11.0,1.71,3.23,3.18,2.0,3.0,3.0,105.0,93.0,93.0,20.0,0.85,0.82,0.82,8.15,8.15,8.05
