,Team,Abrv,Abrv_espn
0,Anaheim Ducks,ANA,ANA
1,Arizona Coyotes,ARI,ARI
2,Boston Bruins,BOS,BOS
3,Buffalo Sabres,BUF,BUF
4,Calgary Flames,CGY,CGY
5,Carolina Hurricanes,CAR,CAR
6,Chicago Blackhawks,CHI,CHI
7,Colorado Avalanche,COL,COL
8,Columbus Blue Jackets,CBJ,CBJ
9,Dallas Stars,DAL,DAL
10,Detroit Red Wings,DET,DET
11,Edmonton Oilers,EDM,EDM
12,Florida Panthers,FLA,FLA
13,Los Angeles Kings,LAK,LA
14,Minnesota Wild,MIN,MIN
15,Montreal Canadiens,MTL,MTL
16,Nashville Predators,NSH,NSH
17,New Jersey Devils,NJD,NJD
18,New York Islanders,NYI,NYI
19,New York Rangers,NYR,NYR
20,Ottawa Senators,OTT,OTT
21,Philadelphia Flyers,PHI,PHI
22,Pittsburgh Penguins,PIT,PIT
23,San Jose Sharks,SJS,SJ
24,Seattle Kraken,SEA,SEA
25,St. Louis Blues,STL,STL
26,Tampa Bay Lightning,TBL,TB
27,Toronto Maple Leafs,TOR,TOR
28,Vancouver Canucks,VAN,VAN
29,Vegas Golden Knights,VGK,VGK
30,Washington Capitals,WSH,WSH
31,Winnipeg Jets,WPG,WPG
